Date,RF,RM_RF,SMB,MOM,SMALL LoPRIOR_RF,ME1_PRIOR2_RF,SMALL_HiPRIOR_RF,BIG_LoPRIOR_RF,ME2_PRIOR2_RF,BIG_HiPRIOR_RF,25_SMALL LoPRIOR_RF,25_ME1 PRIOR2_RF,25_ME1 PRIOR3_RF,25_ME1 PRIOR4_RF,25_SMALL HiPRIOR_RF,25_ME2 PRIOR1_RF,25_ME2 PRIOR2_RF,25_ME2 PRIOR3_RF,25_ME2 PRIOR4_RF,25_ME2 PRIOR5_RF,25_ME3 PRIOR1_RF,25_ME3 PRIOR2_RF,25_ME3 PRIOR3_RF,25_ME3 PRIOR4_RF,25_ME3 PRIOR5_RF,25_ME4 PRIOR1_RF,25_ME4 PRIOR2_RF,25_ME4 PRIOR3_RF,25_ME4 PRIOR4_RF,25_ME4 PRIOR5_RF,25_BIG LoPRIOR_RF,25_ME5 PRIOR2_RF,25_ME5 PRIOR3_RF,25_ME5 PRIOR4_RF,25_BIG HiPRIOR_RF
200409,0.11,1.5413985280299347,2.923333333333333,5.48,3.14,4.279999999999999,7.38,-0.83,0.9700000000000001,5.89,3.27,3.5100000000000002,3.9099999999999997,4.89,6.38,2.31,5.359999999999999,5.25,7.67,7.17,0.3,2.6300000000000003,3.43,3.52,7.31,1.9599999999999997,3.1100000000000003,3.77,2.23,7.31,-0.87,-0.48,-0.21000000000000002,4.2299999999999995,7.319999999999999
200410,0.11,1.3784990452496608,0.4200000000000006,-1.4300000000000002,2.66,2.52,0.7000000000000001,2.52,0.48,1.6199999999999999,1.5399999999999998,1.0499999999999998,2.2800000000000002,2.44,1.48,3.8400000000000003,2.45,3.48,2.18,0.65,4.27,0.9800000000000001,2.8800000000000003,1.9599999999999997,-1.58,3.25,2.56,1.5799999999999998,2.77,1.7699999999999998,3.25,0.84,-0.03,0.030000000000000013,3.65
200411,0.15,4.4986700164818485,4.263333333333333,3.0749999999999993,8.11,8.06,9.709999999999999,2.0500000000000003,4.4399999999999995,6.6,9.04,7.9399999999999995,7.93,8.86,11.639999999999999,8.32,8.75,8.23,9.299999999999999,9.32,7.5,5.659999999999999,6.22,6.449999999999999,9.889999999999999,5.619999999999999,4.85,5.9799999999999995,5.9799999999999995,7.1,0.22,4.279999999999999,3.49,5.199999999999999,7.75
200412,0.16,3.397580592015479,0.4533333333333336,-2.8449999999999998,5.42,2.23,2.9,4.35,3.6599999999999997,1.1800000000000002,6.85,2.98,3.99,3.25,5.07,6.16,2.11,2.17,1.84,3.2199999999999998,5.43,4.18,2.33,1.77,2.4,4.09,4.41,4.4799999999999995,4.01,3.8499999999999996,4.07,4.66,3.23,2.4499999999999997,0.010000000000000009
200501,0.16,-2.699775237769459,-1.6400000000000006,2.965,-6.7700000000000005,-3.24,-2.48,-3.72,-1.77,-2.08,-7.47,-3.85,-2.71,-2.3000000000000003,-2.95,-8.73,-2.96,-3.74,-3.43,-1.64,-6.84,-3.5700000000000003,-2.79,-2.43,-1.0999999999999999,-5.78,-3.39,-1.68,-1.45,-0.77,-3.74,-2.56,-1.13,-1.39,-4.72
200502,0.16,1.9016309366165334,-0.9333333333333331,3.4299999999999997,-0.06,0.75,3.4,0.72,2.05,4.12,-1.8399999999999999,0.19999999999999998,0.04999999999999999,0.6599999999999999,3.6399999999999997,1.4500000000000002,1.1900000000000002,1.97,1.8800000000000001,3.58,0.76,-1.8099999999999998,1.9400000000000002,2.08,5.16,1.55,1.61,2.2199999999999998,3.23,4.81,2.5999999999999996,-0.78,0.15,8.25,2.81
200503,0.21,-1.9270130389649498,-1.1366666666666663,0.4299999999999997,-3.59,-2.0700000000000003,-3.48,-2.58,-1.32,-1.83,-4.91,-2.55,-2.64,-2.79,-3.76,-4.28,-1.43,-3.08,-0.89,-4.27,-1.79,-2.27,-1.72,-1.32,-4.68,-2.04,-0.03999999999999998,-0.8099999999999999,-1.2,-1.8699999999999999,-3.19,-2.41,-0.6799999999999999,-2.33,0.09
200504,0.21,-2.573686425114949,-3.906666666666666,-0.6799999999999997,-7.5,-5.15,-6.34,-1.55,-1.65,-4.07,-8.64,-5.2,-5.28,-5.2299999999999995,-6.33,-8.72,-5.58,-5.71,-4.61,-7.18,-6.68,-4.59,-3.7199999999999998,-4.36,-6.68,-5.04,-4.09,-2.48,-3.48,-4.86,0.05000000000000002,-2.53,-0.8099999999999999,-1.24,-5.8
200505,0.24,3.592464539451507,2.9033333333333338,0.3650000000000002,6.43,5.67,6.95,3.6399999999999997,2.8499999999999996,3.8499999999999996,6.92,4.5,3.7,5.47,5.76,8.6,4.7299999999999995,7.43,5.76,7.64,6.41,5.45,5.1499999999999995,5.52,7.18,5.29,3.79,4.45,4.56,7.26,5.02,1.59,3.62,2.34,2.08
200506,0.23,0.4858313477288084,3.08,2.0700000000000003,3.06,3.82,3.85,-0.59,-0.68,2.7600000000000002,3.75,4.38,3.15,4.579999999999999,4.76,3.8800000000000003,2.92,4.21,4.9799999999999995,3.34,0.71,1.9500000000000002,2.41,1.9,3.8699999999999997,0.5700000000000001,1.1400000000000001,1.5,2.73,4.34,-0.91,-0.67,-1.51,0.07999999999999999,3.42
